id_proposicao,id_votacao,id_deputado,voto,partido
340812,58632138,178957,-1,DEM
340812,58632138,141417,0,PL
340812,58632138,178958,-1,PHS
340812,58632138,178959,-1,PP
340812,58632138,160531,-1,PRB
340812,58632138,64960,0,PSB
340812,58632138,178960,0,PL
340812,58632138,178961,-1,PSDB
340812,58632138,178831,-1,PP
340812,58632138,73926,1,PSB
340812,58632138,178851,0,PODEMOS
340812,58632138,178852,-1,PSD
340812,58632138,105112,-1,MDB
340812,58632138,160641,2,PCdoB
340812,58632138,160591,0,PL
340812,58632138,178995,0,PDT
340812,58632138,160602,1,CIDADANIA
340812,58632138,141335,2,PT
340812,58632138,178906,-1,PP
340812,58632138,74075,0,MDB
340812,58632138,178908,0,PSD
340812,58632138,73930,0,SOLIDARIEDADE
340812,58632138,73931,2,PT
340812,58632138,74079,-1,MDB
340812,58632138,134812,1,PSOL
340812,58632138,178907,-1,PODEMOS
340812,58632138,141484,-1,PL
340812,58632138,74351,-1,PTB
340812,58632138,74352,-1,PSDB
340812,58632138,178909,-1,DEM
340812,58632138,178910,-1,PSD
340812,58632138,67312,-1,PSC
340812,58632138,178911,0,MDB
340812,58632138,178846,0,PL
340812,58632138,178847,-1,PSDB
340812,58632138,74090,-1,PSD
340812,58632138,74356,0,PRB
340812,58632138,74095,-1,DEM
340812,58632138,178848,-1,PP
340812,58632138,178849,0,PDT
340812,58632138,178850,-1,MDB
340812,58632138,178953,-1,PSD
340812,58632138,141483,-1,PRB
340812,58632138,178954,-1,MDB
340812,58632138,74359,-1,PTB
340812,58632138,74177,-1,MDB
340812,58632138,178955,-1,PL
340812,58632138,167722,-1,DEM
340812,58632138,178956,-1,PSDB
340812,58632138,178837,2,PT
340812,58632138,178836,-1,PRB
340812,58632138,141434,0,MDB
340812,58632138,178838,0,PSB
340812,58632138,178839,0,MDB
340812,58632138,178825,2,PT
340812,58632138,160613,2,PT
340812,58632138,178840,0,PSDB
340812,58632138,178993,-1,PODEMOS
340812,58632138,178994,-1,MDB
340812,58632138,114941,-1,MDB
340812,58632138,141480,-1,PP
340812,58632138,160639,-1,DEM
340812,58632138,137070,-1,PL
340812,58632138,160576,0,PRB
340812,58632138,81232,-1,PSD
340812,58632138,141408,-1,PRB
340812,58632138,74449,-1,PTB
340812,58632138,74210,0,PV
340812,58632138,141558,0,PP
340812,58632138,167493,-1,PDT
340812,58632138,178881,0,PODEMOS
340812,58632138,178882,-1,PP
340812,58632138,178883,1,CIDADANIA
340812,58632138,178884,-1,MDB
340812,58632138,74445,0,PSDB
340812,58632138,112437,-1,MDB
340812,58632138,73714,-1,PSB
340812,58632138,178885,-1,PEN
340812,58632138,178886,-1,DEM
340812,58632138,178887,2,PCdoB
340812,58632138,178888,-1,PSD
340812,58632138,178889,0,PT
340812,58632138,74212,0,MDB
340812,58632138,74291,0,PTB
340812,58632138,141440,2,PCdoB
340812,58632138,62881,-1,PSB
340812,58632138,143632,-1,PSD
340812,58632138,160669,0,SOLIDARIEDADE
340812,58632138,129618,-1,PL
340812,58632138,141464,2,PT
340812,58632138,141470,0,PT
340812,58632138,74216,0,PSDB
340812,58632138,178864,-1,PP
340812,58632138,178865,-1,PL
340812,58632138,74299,-1,PDT
340812,58632138,178866,2,PT
340812,58632138,178867,0,PP
340812,58632138,74457,-1,DEM
340812,58632138,178997,1,MDB
340812,58632138,178868,0,PROS
340812,58632138,122466,-1,PRB
340812,58632138,178869,-1,MDB
340812,58632138,159237,2,PT
340812,58632138,74459,-1,PSB
340812,58632138,67138,0,PP
340812,58632138,74317,-1,PSD
340812,58632138,74319,-1,PTB
340812,58632138,97707,-1,PSB
340812,58632138,178926,-1,PSB
340812,58632138,141428,-1,PSD
340812,58632138,141429,-1,DEM
340812,58632138,141535,0,PSDB
340812,58632138,178950,-1,PODEMOS
340812,58632138,178948,-1,PP
340812,58632138,178951,1,PSB
340812,58632138,178952,0,MDB
340812,58632138,178949,-1,PL
340812,58632138,160527,0,PP
340812,58632138,74040,0,SOLIDARIEDADE
340812,58632138,74467,-1,PDT
340812,58632138,141422,-1,DEM
340812,58632138,160674,0,MDB
340812,58632138,74041,2,PT
340812,58632138,141490,0,MDB
340812,58632138,74043,-1,PL
340812,58632138,160636,-1,PTB
340812,58632138,178912,-1,PSDB
340812,58632138,141536,0,PSD
340812,58632138,178913,-1,MDB
340812,58632138,141394,-1,PSDB
340812,58632138,141421,0,PP
340812,58632138,141431,-1,PSB
340812,58632138,74419,0,PSB
340812,58632138,131943,1,MDB
340812,58632138,160572,-1,PTB
340812,58632138,160628,2,PCdoB
340812,58632138,74428,-1,DEM
340812,58632138,160642,-1,PHS
340812,58632138,4930,1,AVANTE
340812,58632138,74439,-1,PDT
340812,58632138,178914,0,PTB
340812,58632138,160551,0,PL
340812,58632138,178915,0,PSDB
340812,58632138,178916,1,PSDB
340812,58632138,178917,1,PSB
340812,58632138,178918,-1,MDB
340812,58632138,178919,-1,PSB
340812,58632138,178920,-1,PODEMOS
340812,58632138,178922,0,PSB
340812,58632138,178923,-1,PTB
340812,58632138,160541,-1,PP
340812,58632138,74558,-1,PHS
340812,58632138,74050,-1,PL
340812,58632138,171617,2,PT
340812,58632138,178841,0,MDB
340812,58632138,178842,-1,PSB
340812,58632138,178843,-1,MDB
340812,58632138,178844,-1,PSDB
340812,58632138,178845,-1,PDT
340812,58632138,160543,-1,PSC
340812,58632138,171623,-1,MDB
340812,58632138,151208,-1,SOLIDARIEDADE
340812,58632138,141384,-1,PSB
340812,58632138,178968,-1,PL
340812,58632138,178969,-1,PSD
340812,58632138,178970,2,PT
340812,58632138,178971,0,PRB
340812,58632138,160508,2,PT
340812,58632138,74057,2,PCdoB
340812,58632138,160553,-1,PSD
340812,58632138,160530,0,PSDB
340812,58632138,160600,0,CIDADANIA
340812,58632138,178834,1,PSB
340812,58632138,74537,-1,DEM
340812,58632138,74060,2,PCdoB
340812,58632138,160666,0,PDT
340812,58632138,141458,-1,PL
340812,58632138,74140,-1,PL
340812,58632138,160619,-1,PSD
340812,58632138,74554,-1,PL
340812,58632138,74570,-1,PSDB
340812,58632138,94931,0,MDB
340812,58632138,150418,-1,PRB
340812,58632138,74574,-1,PSD
340812,58632138,141529,0,PP
340812,58632138,73808,-1,PSD
340812,58632138,160610,2,PT
340812,58632138,160569,0,PT
340812,58632138,69871,1,PODEMOS
340812,58632138,74535,-1,PTB
340812,58632138,93083,0,PP
340812,58632138,178853,2,PT
340812,58632138,178854,-1,DEM
340812,58632138,99654,-1,PEN
340812,58632138,178856,0,PSDB
340812,58632138,178857,0,PT
340812,58632138,74553,-1,DEM
340812,58632138,178858,-1,PP
340812,58632138,178859,2,PT
340812,58632138,178860,-1,DEM
340812,58632138,178861,0,PP
340812,58632138,178862,0,PRB
340812,58632138,178863,-1,PV
340812,58632138,141372,0,PL
340812,58632138,141513,-1,PL
340812,58632138,74650,-1,PSDB
340812,58632138,74651,0,DEM
340812,58632138,160599,-1,PP
340812,58632138,160758,1,PSDB
340812,58632138,74655,1,PSDB
340812,58632138,160640,-1,PROS
340812,58632138,141427,-1,MDB
340812,58632138,141441,-1,PROS
340812,58632138,74665,-1,PSD
340812,58632138,141503,2,PCdoB
340812,58632138,73586,3,PSB
340812,58632138,74156,2,PT
340812,58632138,141482,-1,MDB
340812,58632138,74585,0,PRB
340812,58632138,160510,-1,AVANTE
340812,58632138,141487,0,PP
340812,58632138,141500,-1,PSD
340812,58632138,159238,1,PSDB
340812,58632138,171619,2,PT
340812,58632138,74158,-1,PDT
340812,58632138,74749,0,MDB
340812,58632138,160556,2,PT
340812,58632138,141516,-1,PSDB
340812,58632138,74161,2,PT
340812,58632138,160654,0,PP
340812,58632138,141531,-1,PSDB
340812,58632138,74762,-1,MDB
340812,58632138,160518,2,PMB
340812,58632138,160611,-1,PP
340812,58632138,177282,0,PDT
340812,58632138,92776,-1,PSD
340812,58632138,160632,-1,SOLIDARIEDADE
340812,58632138,178890,2,PT
340812,58632138,178999,0,PL
340812,58632138,178891,1,PSDB
340812,58632138,178892,-1,PSL
340812,58632138,178893,-1,PL
340812,58632138,160588,-1,PSD
340812,58632138,129037,2,PT
340812,58632138,178894,-1,SOLIDARIEDADE
340812,58632138,179000,-1,PL
340812,58632138,146788,-1,PHS
340812,58632138,178895,0,DEM
340812,58632138,178896,-1,MDB
340812,58632138,74752,-1,PP
340812,58632138,178998,0,PSD
340812,58632138,178897,0,MDB
340812,58632138,178898,-1,PSB
340812,58632138,74163,-1,SOLIDARIEDADE
340812,58632138,141562,-1,MDB
340812,58632138,160517,-1,PSB
340812,58632138,178827,-1,PSDB
340812,58632138,160643,-1,PHS
340812,58632138,178871,-1,PV
340812,58632138,178872,2,PT
340812,58632138,178873,2,PT
340812,58632138,74235,-1,PP
340812,58632138,178874,-1,PDT
340812,58632138,160511,2,REDE
340812,58632138,178833,-1,MDB
340812,58632138,178936,-1,PL
340812,58632138,178937,-1,MDB
340812,58632138,160512,-1,SOLIDARIEDADE
340812,58632138,73701,2,PT
340812,58632138,178938,1,AVANTE
340812,58632138,72912,-1,MDB
340812,58632138,74171,1,PSOL
340812,58632138,141439,2,PT
340812,58632138,178939,0,PL
340812,58632138,93472,-1,PTB
340812,58632138,74172,-1,PTB
340812,58632138,178940,-1,PL
340812,58632138,74173,0,MDB
340812,58632138,178941,-1,PODEMOS
340812,58632138,141430,0,PROS
340812,58632138,163831,-1,MDB
340812,58632138,160677,0,DEM
340812,58632138,152605,1,PSOL
340812,58632138,141450,-1,PSB
340812,58632138,141389,-1,PSD
340812,58632138,74847,-1,PSC
340812,58632138,74848,2,PCdoB
340812,58632138,160672,1,PSOL
340812,58632138,74253,-1,PP
340812,58632138,74254,-1,MDB
340812,58632138,178802,-1,PODEMOS
340812,58632138,74688,2,PT
340812,58632138,76287,-1,PHS
340812,58632138,178943,0,DEM
340812,58632138,74862,1,REDE
340812,58632138,141515,-1,PSDB
340812,58632138,74017,-1,PL
340812,58632138,178944,-1,PRB
340812,58632138,74693,-1,DEM
340812,58632138,178945,-1,PRB
340812,58632138,73424,-1,PP
340812,58632138,178946,-1,MDB
340812,58632138,178947,-1,DEM
340812,58632138,160620,-1,MDB
340812,58632138,178972,1,CIDADANIA
340812,58632138,160545,-1,DEM
340812,58632138,141383,-1,PRB
340812,58632138,73433,0,PT
340812,58632138,73434,-1,PTB
340812,58632138,73437,-1,PRB
340812,58632138,160589,0,PSDB
340812,58632138,74262,0,PSDB
340812,58632138,141398,2,PT
340812,58632138,141385,-1,PSDB
340812,58632138,73447,-1,MDB
340812,58632138,160532,0,DEM
340812,58632138,160667,0,PP
340812,58632138,73531,1,PSOL
340812,58632138,74273,-1,PSD
340812,58632138,73535,-1,DEM
340812,58632138,74275,2,PT
340812,58632138,160659,-1,PSB
340812,58632138,74784,1,PSOL
340812,58632138,160565,1,PSDB
340812,58632138,74787,-1,PL
340812,58632138,160561,-1,DEM
340812,58632138,73553,-1,PTB
340812,58632138,160601,-1,PSC
340812,58632138,160558,-1,PL
340812,58632138,132056,0,PP
340812,58632138,141518,0,SOLIDARIEDADE
340812,58632138,141488,2,PT
340812,58632138,160655,-1,PP
340812,58632138,141472,-1,PSDB
340812,58632138,160653,-1,PV
340812,58632138,73560,-1,PSDB
340812,58632138,160976,-1,PL
340812,58632138,141553,-1,PSDB
340812,58632138,160622,2,PT
340812,58632138,74283,2,PT
340812,58632138,178973,2,PT
340812,58632138,178974,0,PT
340812,58632138,178975,-1,MDB
340812,58632138,178976,1,PSDB
340812,58632138,178829,-1,PL
340812,58632138,73441,-1,PRB
340812,58632138,178830,-1,PODEMOS
340812,58632138,92346,-1,PSC
340812,58632138,178977,-1,PSDB
340812,58632138,178828,-1,PV
340812,58632138,66828,0,PP
340812,58632138,178978,1,PSB
340812,58632138,74270,-1,PSC
340812,58632138,178980,-1,PSD
340812,58632138,178981,-1,PSD
340812,58632138,178988,-1,PSDB
340812,58632138,178982,-1,PSB
340812,58632138,178826,-1,SOLIDARIEDADE
340812,58632138,118594,0,PRB
340812,58632138,178983,-1,PL
340812,58632138,178984,-1,PSDB
340812,58632138,178985,-1,PL
340812,58632138,178986,2,PT
340812,58632138,178987,2,PCdoB
340812,58632138,178989,-1,PODEMOS
340812,58632138,152610,-1,PRB
340812,58632138,178992,0,PSDB
340812,58632138,178991,-1,PRB
340812,58632138,113247,2,PT
340812,58632138,141555,-1,PRB
340812,58632138,141401,-1,MDB
340812,58632138,166401,-1,PSDB
340812,58632138,148134,-1,PSC
340812,58632138,160630,2,PT
340812,58632138,141552,-1,MDB
340812,58632138,178903,-1,PSB
340812,58632138,178905,-1,PSB
340812,58632138,73655,-1,SOLIDARIEDADE
340812,58632138,160575,2,PT
340812,58632138,4931,-1,PSDB
340812,58632138,160637,-1,PROS
340812,58632138,73579,-1,DEM
340812,58632138,141478,0,PL
340812,58632138,160426,-1,PSD
340812,58632138,178870,0,PP
340812,58632138,164359,1,PL
340812,58632138,160598,0,PDT
340812,58632138,160596,-1,PSD
340812,58632138,74366,-1,PRB
340812,58632138,73666,-1,PTB
340812,58632138,166402,0,PL
340812,58632138,74812,-1,MDB
340812,58632138,73674,-1,PP
340812,58632138,74371,0,PT
340812,58632138,178875,-1,PODEMOS
340812,58632138,178876,-1,PSDB
340812,58632138,144523,0,MDB
340812,58632138,178877,1,PSDB
340812,58632138,178878,-1,PSDB
340812,58632138,178879,-1,SOLIDARIEDADE
340812,58632138,178880,1,CIDADANIA
340812,58632138,160617,0,PSD
340812,58632138,74374,-1,PSDB
340812,58632138,160633,-1,DEM
340812,58632138,74376,2,PT
340812,58632138,178900,-1,MDB
340812,58632138,141411,-1,PDT
340812,58632138,178901,-1,PSB
340812,58632138,178902,2,PT
340812,58632138,73458,-1,PTB
340812,58632138,141454,-1,PSL
340812,58632138,74378,-1,PDT
340812,58632138,73768,0,PP
340812,58632138,160646,-1,SOLIDARIEDADE
340812,58632138,74383,0,PL
340812,58632138,73772,0,MDB
340812,58632138,160573,-1,MDB
340812,58632138,160663,-1,PSB
340812,58632138,73778,-1,PSDB
340812,58632138,162332,-1,PL
340812,58632138,73781,-1,PP
340812,58632138,73463,-1,MDB
340812,58632138,73466,1,CIDADANIA
340812,58632138,160621,-1,PSD
340812,58632138,74385,0,PSC
340812,58632138,160592,0,PT
340812,58632138,178927,2,REDE
340812,58632138,178928,1,PL
340812,58632138,178929,-1,PHS
340812,58632138,132504,2,PT
340812,58632138,178930,-1,PSD
340812,58632138,178832,-1,PV
340812,58632138,178931,-1,PSB
340812,58632138,178932,1,PP
340812,58632138,73788,0,PP
340812,58632138,178933,-1,MDB
340812,58632138,178934,-1,PROS
340812,58632138,164360,1,CIDADANIA
340812,58632138,141405,-1,MDB
340812,58632138,141413,2,PT
340812,58632138,160649,-1,PP
340812,58632138,74388,0,PP
340812,58632138,160509,-1,PL
340812,58632138,160536,-1,PSDB
340812,58632138,141507,-1,MDB
340812,58632138,160604,0,PT
340812,58632138,160651,0,MDB
340812,58632138,160515,-1,MDB
340812,58632138,74010,0,MDB
340812,58632138,73720,0,PSD
340812,58632138,178966,1,PSDB
340812,58632138,178967,-1,PSD
340812,58632138,160571,-1,PSD
340812,58632138,136811,-1,PP
340812,58632138,160559,-1,MDB
